locus	sample	region	body_start	body_end	body_median_all	flank_median_all	diploid_cov_all	hapcopies_all	hap_class	hapcopies_dedup	nucfreq_total_sites	nucfreq_het_sites	nucfreq_het_frac	nucfreq_mean_alt_depth	nucfreq_available	sample_ref_cov	low_baseline	called_cn
HML-2_21p13	HG00126	1	15836	25500	35.0000	35.0000	35.0000	2.0000	diploid	2.0645	9665	1	0.0001	7.0000	True	43.0000	False	6
HML-2_21p13	HG00126	2	10457	20128	74.0000	68.0000	68.0000	2.1765	diploid	2.2000	9672	40	0.0041	18.7000	True	43.0000	False	6
HML-2_21p13	HG00126	3	10001	17998	53.0000	51.0000	51.0000	2.0784	diploid	2.1277	7998	3	0.0004	15.6667	True	43.0000	False	6
HML-2_21p13	HG00126	4	15406	25073	30.0000	29.0000	29.0000	2.0690	diploid	2.0769	9668	2	0.0002	4.0000	True	43.0000	False	6
HML-2_21p13	HG00126	5	14306	23973	38.0000	35.0000	35.0000	2.1714	diploid	2.1250	9668	1	0.0001	7.0000	True	43.0000	False	6
HML-2_21p13	HG00126	6	10001	18260	83.0000	78.0000	78.0000	2.1282	diploid	2.1096	8260	35	0.0042	22.9714	True	43.0000	False	6
HML-2_21p13	HG00133	1	13455	23117	85.0000	82.0000	82.0000	2.0732	diploid	2.0800	9663	41	0.0042	22.3902	True	39.0000	False	4
HML-2_21p13	HG00133	2	15532	25189	30.0000	28.0000	28.0000	2.1429	diploid	2.2308	9658	22	0.0023	8.9091	True	39.0000	False	4
HML-2_21p13	HG00133	3	13383	23040	92.0000	88.0000	88.0000	2.0909	diploid	2.0488	9658	42	0.0043	28.0714	True	39.0000	False	4
HML-2_21p13	HG00133	4	10001	17181	30.0000	29.0000	29.0000	2.0690	diploid	2.0741	7181	1	0.0001	5.0000	True	39.0000	False	4
HML-2_21p13	HG00140	1	17039	26706	46.0000	40.0000	40.0000	2.3000	diploid	2.2778	9668	36	0.0037	13.6944	True	40.5000	False	8
HML-2_21p13	HG00140	2	14353	24016	82.0000	78.0000	78.0000	2.1026	diploid	2.1159	9664	63	0.0065	22.9048	True	40.5000	False	8
HML-2_21p13	HG00140	3	10755	20426	68.0000	52.0000	52.0000	2.6154	diploid	2.5957	9672	31	0.0032	20.3226	True	40.5000	False	8
HML-2_21p13	HG00140	4	12079	21746	80.0000	68.0000	68.0000	2.3529	diploid	2.3934	9668	12	0.0012	21.3333	True	40.5000	False	8
HML-2_21p13	HG00140	5	18038	27709	87.0000	83.0000	83.0000	2.0964	diploid	2.0519	9672	28	0.0029	27.3214	True	40.5000	False	8
HML-2_21p13	HG00140	6	4893438	4903105	79.0000	69.0000	69.0000	2.2899	diploid	2.2903	9668	12	0.0012	21.7500	True	40.5000	False	8
HML-2_21p13	HG00140	7	21316	30983	39.0000	33.0000	33.0000	2.3636	diploid	2.4828	9668	30	0.0031	7.2333	True	40.5000	False	8
HML-2_21p13	HG00140	8	10001	16209	89.0000	82.0000	82.0000	2.1707	diploid	2.1644	6209	4	0.0006	16.5000	True	40.5000	False	8
HML-2_21p13	HG00146	1	13574	23212	44.0000	37.0000	37.0000	2.3784	diploid	2.3529	9639	17	0.0018	10.8235	True	37.0000	False	8
HML-2_21p13	HG00146	2	16349	26013	115.0000	111.0000	111.0000	2.0721	diploid	2.0600	9665	23	0.0024	25.6087	True	37.0000	False	8
HML-2_21p13	HG00146	3	14899	24566	86.0000	74.0000	74.0000	2.3243	diploid	2.3333	9668	45	0.0047	28.6444	True	37.0000	False	8
HML-2_21p13	HG00146	4	14454	24092	109.0000	110.0000	110.0000	1.9818	diploid	1.9802	9639	3	0.0003	30.0000	True	37.0000	False	8
HML-2_21p13	HG00146	5	16401	26054	43.0000	38.0000	38.0000	2.2632	diploid	2.1875	9654	34	0.0035	9.2941	True	37.0000	False	8
HML-2_21p13	HG00146	6	15501	23977	24.0000	26.0000	26.0000	1.8462	diploid	1.9167	8477	13	0.0015	4.0000	True	37.0000	False	8
HML-2_21p13	HG00146	7	29832	38308	29.0000	28.0000	28.0000	2.0714	diploid	2.0000	8477	32	0.0038	5.6562	True	37.0000	False	8
HML-2_21p13	HG00146	8	10001	11607	34.0000	32.0000	32.0000	2.1250	diploid	2.1333	1607	0	0.0000		True	37.0000	False	8
HML-2_21p13	HG00232	1	10001	17414	35.0000	24.0000	24.0000	2.9167	diploid	2.7273	7414	15	0.0020	8.7333	True	47.0000	False	5
HML-2_21p13	HG00232	2	11262	20929	45.0000	36.0000	36.0000	2.5000	diploid	2.5294	9668	6	0.0006	11.0000	True	47.0000	False	5
HML-2_21p13	HG00232	3	11811	21478	128.0000	95.0000	95.0000	2.6947	diploid	2.6364	9668	34	0.0035	35.3824	True	47.0000	False	5
HML-2_21p13	HG00232	4	14622	24285	121.0000	105.0000	105.0000	2.3048	diploid	2.3191	9664	23	0.0024	27.7391	True	47.0000	False	5
HML-2_21p13	HG00232	5	15981	25645	130.0000	109.0000	109.0000	2.3853	diploid	2.3600	9665	19	0.0020	30.9474	True	47.0000	False	5
HML-2_21p13	HG00235	1	10682	20354	116.0000	99.0000	99.0000	2.3434	diploid	2.3261	9673	38	0.0039	43.6053	True	58.0000	False	7
HML-2_21p13	HG00235	2	12190	21857	123.0000	107.0000	107.0000	2.2991	diploid	2.2581	9668	40	0.0041	27.3500	True	58.0000	False	7
HML-2_21p13	HG00235	3	10001	17890	67.0000	58.0000	58.0000	2.3103	diploid	2.2642	7890	25	0.0032	15.0400	True	58.0000	False	7
HML-2_21p13	HG00235	4	12190	21857	73.0000	67.0000	67.0000	2.1791	diploid	2.1379	9668	2	0.0002	12.0000	True	58.0000	False	7
HML-2_21p13	HG00235	5	12616	22283	83.0000	74.0000	74.0000	2.2432	diploid	2.2388	9668	2	0.0002	37.5000	True	58.0000	False	7
HML-2_21p13	HG00235	6	10540	20207	24.0000	20.0000	20.0000		NA		9668	5	0.0005	4.2000	True	58.0000	True	7
HML-2_21p13	HG00235	7	14919	24586	44.0000	40.0000	40.0000	2.2000	diploid	2.2286	9668	7	0.0007	11.5714	True	58.0000	False	7
HML-2_21p13	HG00280	1	17533	27182	45.0000	35.0000	35.0000	2.5714	diploid	2.5000	9650	7	0.0007	8.7143	True	39.5000	False	7
HML-2_21p13	HG00280	2	15838	25491	34.0000	32.0000	32.0000	2.1250	diploid	2.2143	9654	39	0.0040	7.7949	True	39.5000	False	7
HML-2_21p13	HG00280	3	16001	25660	60.0000	51.0000	51.0000	2.3529	diploid	2.3913	9660	39	0.0040	18.9744	True	39.5000	False	7
HML-2_21p13	HG00280	4	11705	21372	64.0000	50.0000	50.0000	2.5600	diploid	2.5652	9668	11	0.0011	14.1818	True	39.5000	False	7
HML-2_21p13	HG00280	5	1	19375	23.0000		0.0000		NA		19374	70	0.0036	4.4143	True	39.5000	True	7
HML-2_21p13	HG00280	6	18325	27992	127.0000	105.0000	105.0000	2.4190	diploid	2.3750	9668	52	0.0054	32.5962	True	39.5000	False	7
HML-2_21p13	HG00280	7	21427	31094	55.0000	44.0000	44.0000	2.5000	diploid	2.5000	9668	17	0.0018	11.7647	True	39.5000	False	7
HML-2_21p13	HG00329	1	10001	17191	50.0000	47.0000	47.0000	2.1277	diploid	2.2381	7191	22	0.0031	13.7273	True	63.5000	False	8
HML-2_21p13	HG00329	2	10321	19988	126.0000	100.0000	100.0000	2.5200	diploid	2.4835	9668	41	0.0042	30.8537	True	63.5000	False	8
HML-2_21p13	HG00329	3	10370	20037	207.0000	180.0000	180.0000	2.3000	diploid	2.2209	9668	47	0.0049	47.4894	True	63.5000	False	8
HML-2_21p13	HG00329	4	10256	19931	98.0000	77.0000	77.0000	2.5455	diploid	2.3429	9676	29	0.0030	30.7241	True	63.5000	False	8
HML-2_21p13	HG00329	5	11426	21089	65.0000	47.0000	47.0000	2.7660	diploid	2.6364	9664	26	0.0027	18.6538	True	63.5000	False	8
HML-2_21p13	HG00329	6	14916	31208	67.0000	61.0000	61.0000	2.1967	diploid	2.1455	16293	25	0.0015	17.8000	True	63.5000	False	8
HML-2_21p13	HG00329	7	10001	18604	50.0000	43.0000	43.0000	2.3256	diploid	2.2632	8604	17	0.0020	8.8235	True	63.5000	False	8
HML-2_21p13	HG00329	8	10312	19946	75.0000	66.0000	66.0000	2.2727	diploid	2.2951	9635	20	0.0021	30.9500	True	63.5000	False	8
HML-2_21p13	HG00344	1	10001	18627	15.0000	13.0000	13.0000	2.3077	diploid	2.3333	8627	3	0.0003	3.0000	True	30.5000	False	5
HML-2_21p13	HG00344	2	11035	20702	38.0000	33.0000	33.0000	2.3030	diploid	2.2667	9668	33	0.0034	12.0000	True	30.5000	False	5
HML-2_21p13	HG00344	3	12606	22259	21.0000	17.0000	17.0000	2.4706	diploid	2.2353	9654	5	0.0005	3.2000	True	30.5000	False	5
HML-2_21p13	HG00344	4	10001	10056	12.0000	11.0000	11.0000		NA		56	0	0.0000		True	30.5000	True	5
HML-2_21p13	HG00544	1	14723	24386	56.0000	46.0000	46.0000	2.4348	diploid	2.4390	9664	64	0.0066	14.7500	True	59.5000	False	8
HML-2_21p13	HG00544	2	15294	24965	55.0000	49.0000	49.0000	2.2449	diploid	2.1778	9672	14	0.0014	11.3571	True	59.5000	False	8
HML-2_21p13	HG00544	3	11518	21189	101.0000	92.0000	92.0000	2.1957	diploid	2.1463	9672	37	0.0038	17.6486	True	59.5000	False	8
HML-2_21p13	HG00544	4	26748	36415	37.0000	34.0000	34.0000	2.1765	diploid	2.2000	9668	21	0.0022	6.9524	True	59.5000	False	8
HML-2_21p13	HG00544	5	15624	25295	81.0000	76.0000	76.0000	2.1316	diploid	2.1515	9672	58	0.0060	21.8448	True	59.5000	False	8
HML-2_21p13	HG00544	6	13970	23637	75.0000	63.0000	63.0000	2.3810	diploid	2.3571	9668	25	0.0026	17.8800	True	59.5000	False	8
HML-2_21p13	HG00544	7	20436	30100	99.0000	85.0000	85.0000	2.3294	diploid	2.3514	9665	45	0.0047	23.8444	True	59.5000	False	8
HML-2_21p13	HG00544	8	15144	24811	62.0000	61.0000	61.0000	2.0328	diploid	2.0000	9668	46	0.0048	11.9565	True	59.5000	False	8
HML-2_21p13	HG03017	1	11764	21439	86.0000	71.0000	71.0000	2.4225	diploid	2.4375	9676	37	0.0038	25.6486	True	62.0000	False	9
HML-2_21p13	HG03017	2	12612	22279	50.0000	42.0000	42.0000	2.3810	diploid	2.4865	9668	29	0.0030	10.2414	True	62.0000	False	9
HML-2_21p13	HG03017	3	14938	24597	35.0000	32.0000	32.0000	2.1875	diploid	2.2143	9660	36	0.0037	7.8056	True	62.0000	False	9
HML-2_21p13	HG03017	4	10001	17913	138.0000	125.0000	125.0000	2.2080	diploid	2.1770	7913	13	0.0016	29.1538	True	62.0000	False	9
HML-2_21p13	HG03017	5	13066	22733	68.0000	62.0000	62.0000	2.1935	diploid	2.2182	9668	64	0.0066	19.2188	True	62.0000	False	9
HML-2_21p13	HG03017	6	10001	17913	127.0000	125.0000	125.0000	2.0320	diploid	2.0354	7913	28	0.0035	29.1071	True	62.0000	False	9
HML-2_21p13	HG03017	7	10001	17197	43.0000	42.0000	42.0000	2.0476	diploid	2.0526	7197	9	0.0013	8.5556	True	62.0000	False	9
HML-2_21p13	HG03017	8	10001	19672	64.0000	56.0000	56.0000	2.2857	diploid	2.3265	9672	28	0.0029	13.0714	True	62.0000	False	9
HML-2_21p13	HG03017	9	13370	23037	88.0000	66.0000	66.0000	2.6667	diploid	2.6897	9668	35	0.0036	20.9143	True	62.0000	False	9
HML-2_22p13	HG00099	1	13032	22699	43.0000	36.0000	36.0000	2.3889	diploid	2.4375	9668	18	0.0019	11.9444	True	40.0000	False	3
HML-2_22p13	HG00099	2	13872	23543	23.0000	22.0000	22.0000	2.0909	diploid	2.0000	9672	41	0.0042	4.4390	True	40.0000	False	3
HML-2_22p13	HG00133	1	10001	18722	3.0000	4.0000	4.0000		NA		8722	0	0.0000		True	39.0000	True	5
HML-2_22p13	HG00133	2	11300	20967	36.0000	35.0000	35.0000	2.0571	diploid	2.0625	9668	3	0.0003	15.6667	True	39.0000	False	5
HML-2_22p13	HG00133	3	10033	19692	45.0000	42.0000	42.0000	2.1429	diploid	2.1026	9660	15	0.0016	10.7333	True	39.0000	False	5
HML-2_22p13	HG00133	4	10001	17359	13.0000	13.0000	13.0000		NA		7359	0	0.0000		True	39.0000	True	5
HML-2_22p13	HG00133	5	10001	19307	29.0000	28.0000	28.0000	2.0714	diploid	2.0000	9307	46	0.0049	7.8043	True	39.0000	False	5
HML-2_22p13	HG00232	1	10001	17083	36.0000	30.0000	30.0000	2.4000	diploid	2.3571	7083	1	0.0001	6.0000	True	47.0000	False	3
HML-2_22p13	HG00232	2	14699	24366	63.0000	51.0000	51.0000	2.4706	diploid	2.3830	9668	4	0.0004	11.7500	True	47.0000	False	3
HML-2_22p13	HG00235	1	17562	27215	75.0000	60.0000	60.0000	2.5000	diploid	2.4643	9654	4	0.0004	28.2500	True	58.0000	False	3
HML-2_22p13	HG00235	2	10001	18867	6.0000	5.0000	5.0000		NA		8867	10	0.0011	3.0000	True	58.0000	True	3
HML-2_22p13	HG00321	1	10001	18754	77.0000	74.0000	74.0000	2.0811	diploid	2.0882	8754	17	0.0019	15.8824	True	36.5000	False	5
HML-2_22p13	HG00321	2	12332	21995	49.0000	46.0000	46.0000	2.1304	diploid	2.0952	9664	32	0.0033	13.9688	True	36.5000	False	5
HML-2_22p13	HG00321	3	16562	26229	13.0000	11.0000	11.0000		NA		9668	9	0.0009	3.0000	True	36.5000	True	5
HML-2_22p13	HG00321	4	10001	17554	27.0000	27.0000	27.0000	2.0000	diploid	2.0870	7554	4	0.0005	4.0000	True	36.5000	False	5
HML-2_22p13	HG00344	1	10001	19276	64.0000	57.0000	57.0000	2.2456	diploid	2.2264	9276	55	0.0059	15.6000	True	30.5000	False	3
HML-2_22p13	HG00344	2	10001	19016	71.0000	70.0000	70.0000	2.0286	diploid	2.0299	9016	33	0.0037	26.1515	True	30.5000	False	3
HML-2_22p13	HG00423	1	21585	31251	37.0000	35.0000	35.0000	2.1143	diploid	2.0667	9667	77	0.0080	9.3117	True	41.0000	False	5
HML-2_22p13	HG00423	2	10373	20040	91.0000	82.0000	82.0000	2.2195	diploid	2.1714	9668	21	0.0022	18.0952	True	41.0000	False	5
HML-2_22p13	HG00423	3	10886	20553	54.0000	53.0000	53.0000	2.0377	diploid	1.9592	9668	61	0.0063	15.7541	True	41.0000	False	5
HML-2_22p13	HG00423	4	10955	20622	55.0000	51.0000	51.0000	2.1569	diploid	2.1860	9668	53	0.0055	9.8302	True	41.0000	False	5
HML-2_22p13	HG00423	5	16577	26248	30.0000	27.0000	27.0000	2.2222	diploid	2.2727	9672	85	0.0088	6.4824	True	41.0000	False	5
HML-2_22p13	HG00673	1	17501	27168	36.0000	31.0000	31.0000	2.3226	diploid	2.3704	9668	45	0.0047	9.0222	True	38.0000	False	4
HML-2_22p13	HG00673	2	26220	35891	41.0000	38.0000	38.0000	2.1579	diploid	2.1176	9672	16	0.0017	7.8750	True	38.0000	False	4
HML-2_22p13	HG00673	3	12955	22630	52.0000	50.0000	50.0000	2.0800	diploid	2.0930	9676	30	0.0031	9.6333	True	38.0000	False	4
HML-2_22q11.23	NA18608	1	18884606	18889603	26.0000	10.0000	10.0000	5.2000	diploid	4.8000	4898	17	0.0035	11.0000	True	22.0000	False	4
HML-2_22q11.23	NA18608	2	18906155	18917794	32.0000	14.5000	14.5000	4.4138	diploid	4.8000	11640	29	0.0025	9.0690	True	22.0000	False	4
HML-2_22q11.23	NA18608	3	18966015	18970636	26.0000	22.0000	22.0000	2.3636	diploid	2.3529	4622	33	0.0071	8.2727	True	22.0000	False	4
HML-2_22q11.23	NA19087	1	17716419	17719280	35.0000	31.0000	31.0000	2.2581	diploid	2.2143	2862	2	0.0007	8.0000	True	31.0000	False	4
HML-2_22q11.23	NA19087	2	17762749	17774387	42.0000	31.0000	31.0000	2.7097	diploid	2.4667	11639	24	0.0021	14.3333	True	31.0000	False	4
HML-2_22q11.23	NA19087	3	17785046	17793824	16.0000	21.0000	21.0000	1.5238	haploid	1.3684	8620	23	0.0027	3.2609	True	31.0000	False	4
HML-2_3q13.2	HG02040	1	24081198	24092343	45.0000	65.0000	65.0000	1.3846	haploid	1.3793	11146	14	0.0013	13.5000	True	66.5000	False	3
HML-2_3q13.2	HG02040	2	24089398	24100543	64.0000	68.0000	68.0000	1.8824	diploid	1.8361	11146	14	0.0013	21.5000	True	66.5000	False	3
HML-2_3q13.2	HG02841	1	117731531	117742676	63.5000	60.0000	60.0000	2.1167	diploid	2.1176	11146	9	0.0008	11.8889	True	63.0000	False	3
HML-2_3q13.2	HG02841	2	117739731	117750876	52.0000	66.0000	66.0000	1.5758	haploid	1.5088	11146	11	0.0010	12.0000	True	63.0000	False	3
HML-2_3q13.2	NA18970	1	114923684	114934829	55.0000	55.0000	55.0000	2.0000	diploid	2.0000	11146	0	0.0000		True	58.5000	False	3
HML-2_3q13.2	NA18970	2	114931884	114943029	45.0000	62.0000	62.0000	1.4516	haploid	1.5185	11146	0	0.0000		True	58.5000	False	3
HML-2_3q27.2	HG00544	1	187339599	187350764	57.0000	51.0000	51.0000	2.2353	diploid	2.1333	11166	15	0.0013	10.6667	True	59.5000	False	3
HML-2_3q27.2	HG00544	2	187347811	187358976	50.0000	58.0000	58.0000	1.7241	diploid	1.6863	11166	16	0.0014	8.1875	True	59.5000	False	3
HML-2_4p16.1a	HG00423	1	9118982	9129646	34.0000	41.0000	41.0000	1.6585	diploid	1.6111	10665	32	0.0030	6.3750	True	41.0000	False	3
HML-2_4p16.1a	HG00423	2	9137552	9148216	44.0000	38.0000	38.0000	2.3158	diploid	2.3125	10665	21	0.0020	7.0952	True	41.0000	False	3
HML-2_4p16.3a	HG00253	1	14833	24500	75.0000	70.0000	70.0000	2.1429	diploid	2.1270	9668	9	0.0009	31.5556	True	36.0000	False	3
HML-2_4p16.3a	HG00253	2	12434	22097	19.0000	14.0000	14.0000		NA		9664	7	0.0007	3.0000	True	36.0000	True	3
HML-2_4p16.3a	HG02165	1	28446	38113	33.0000	53.0000	53.0000	1.2453	haploid	1.2500	9668	33	0.0034	17.5152	True	32.5000	False	3
HML-2_4p16.3a	HG02165	2	10001	16654	14.0000	12.0000	12.0000		NA		6654	17	0.0026	3.4118	True	32.5000	True	3
HML-2_4p16.3a	HG02451	1	15329	24996	40.0000	37.0000	37.0000	2.1622	diploid	2.1935	9668	79	0.0082	9.9620	True	39.0000	False	3
HML-2_4p16.3a	HG02451	2	19712	29369	26.0000	41.0000	41.0000	1.2683	haploid	1.2778	9658	97	0.0100	8.1340	True	39.0000	False	3
HML-2_4p16.3a	HG03583	1	15624	25287	26.0000	26.0000	26.0000	2.0000	diploid	2.0000	9664	11	0.0011	5.9091	True	25.0000	False	3
HML-2_4p16.3a	HG03583	2	18043	27710	21.0000	24.0000	24.0000	1.7500	diploid	1.7391	9668	21	0.0022	6.1429	True	25.0000	False	3
HML-2_4p16.3a	NA18522	1	15357	25024	38.0000	49.0000	49.0000	1.5510	haploid	1.6279	9668	40	0.0041	10.0500	True	45.5000	False	3
HML-2_4p16.3a	NA18522	2	18745	28407	44.0000	42.0000	42.0000	2.0952	diploid	2.0000	9663	54	0.0056	13.1852	True	45.5000	False	3
HML-2_4p16.3a	NA19468	1	11759	21425	16.0000	9.0000	9.0000	3.5556	diploid	3.7500	9667	76	0.0079	4.0789	True	15.5000	False	3
HML-2_4p16.3a	NA19468	2	16256	25922	28.0000	22.0000	22.0000	2.5455	diploid	2.8889	9667	49	0.0051	6.4694	True	15.5000	False	3
HML-2_4q32.1	HG04160	1	163165236	163170566	76.0000	72.0000	72.0000	2.1111	diploid	2.1562	5331	1	0.0002	32.0000	True	38.5000	False	3
HML-2_4q32.1	HG04160	2	81226	81961	6.0000	5.0000	5.0000		NA		736	0	0.0000		True	38.5000	True	3
HML-2_4q35.2_hg38	HG00253	1	140451992	140461655	0.0000	0.0000	0.0000		NA		0	0			True	36.0000	True	3
HML-2_4q35.2_hg38	HG00253	2	12434	22097	19.0000	14.0000	14.0000		NA		9664	7	0.0007	3.0000	True	36.0000	True	3
HML-2_4q35.2_hg38	HG00272	1	191550142	191559808	35.0000	28.0000	28.0000	2.5000	diploid	2.3077	9667	28	0.0029	8.4286	True	26.0000	False	3
HML-2_4q35.2_hg38	HG00272	2	1556821	1566036	55.0000	49.0000	49.0000	2.2449	diploid	2.1818	9216	2	0.0002	15.5000	True	26.0000	False	3
HML-2_4q35.2_hg38	HG01346	1	191322320	191331987	54.0000	49.0000	49.0000	2.2041	diploid	2.2381	9668	25	0.0026	13.4000	True	53.0000	False	3
HML-2_4q35.2_hg38	HG01346	2	20185	29856	27.0000	23.0000	23.0000	2.3478	diploid	2.5263	9672	50	0.0052	6.0600	True	53.0000	False	3
HML-2_4q35.2_hg38	HG01978	1	26678	36345	93.0000	71.0000	71.0000	2.6197	diploid	2.8276	9668	65	0.0067	24.7231	True	71.0000	False	3
HML-2_4q35.2_hg38	HG01978	2	1256064	1265730	84.0000	71.0000	71.0000	2.3662	diploid	2.3438	9667	26	0.0027	25.6538	True	71.0000	False	3
HML-2_4q35.2_hg38	HG02293	1	2343808	2353478	88.0000	80.0000	80.0000	2.2000	diploid	2.1667	9671	43	0.0044	29.7907	True	64.0000	False	3
HML-2_4q35.2_hg38	HG02293	2	139954692	139955440	49.0000	48.0000	48.0000	2.0417	diploid	2.1905	749	0	0.0000		True	64.0000	False	3
HML-2_4q35.2_hg38	HG02735	1	191397043	191406713	19.0000	16.0000	16.0000	2.3750	diploid	2.2857	9671	89	0.0092	3.6517	True	20.5000	False	3
HML-2_4q35.2_hg38	HG02735	2	18699	28362	37.0000	25.0000	25.0000	2.9600	diploid	3.1429	9664	75	0.0078	8.8533	True	20.5000	False	3
HML-2_4q35.2_hg38	HG04157	1	21194	30869	25.0000	20.0000	20.0000	2.5000	diploid	2.6250	9676	58	0.0060	4.6552	True	28.0000	False	3
HML-2_4q35.2_hg38	HG04157	2	18953	28624	30.0000	22.0000	22.0000	2.7273	diploid	2.7778	9672	93	0.0096	7.4624	True	28.0000	False	3
HML-2_5p12	HG00140	1	46227041	46239688	45.0000	40.0000	40.0000	2.2500	diploid	2.1579	12648	9	0.0007	9.3333	True	40.5000	False	3
HML-2_5p12	HG00140	2	523854	536502	47.0000	41.0000	41.0000	2.2927	diploid	2.1579	12649	12	0.0009	9.9167	True	40.5000	False	3
HML-2_5q33.3	HG00290	1	157409336	157420481	62.0000	86.0000	86.0000	1.4419	haploid	1.4000	11146	6	0.0005	18.1667	True	62.0000	False	4
HML-2_5q33.3	HG00290	2	157417548	157428693	51.0000	91.0000	91.0000	1.1209	haploid	1.1395	11146	1	0.0001	9.0000	True	62.0000	False	4
HML-2_5q33.3	HG00290	3	157425760	157436905	88.0000	62.0000	62.0000	2.8387	diploid	2.7541	11146	4	0.0004	43.2500	True	62.0000	False	4
HML-2_5q33.3	HG01346	1	156872479	156883624	51.0000	66.0000	66.0000	1.5455	haploid	1.5439	11146	17	0.0015	10.7059	True	53.0000	False	3
HML-2_5q33.3	HG01346	2	156880691	156891836	57.0000	57.0000	57.0000	2.0000	diploid	1.9184	11146	26	0.0023	11.6154	True	53.0000	False	3
HML-2_5q33.3	HG02738	1	158523828	158534973	48.0000	57.0000	57.0000	1.6842	diploid	1.8222	11146	18	0.0016	9.1111	True	57.0000	False	4
HML-2_5q33.3	HG02738	2	158532040	158543185	40.0000	60.0000	60.0000	1.3333	haploid	1.3600	11146	16	0.0014	7.0000	True	57.0000	False	4
HML-2_5q33.3	HG02738	3	158540252	158551397	59.0000	47.0000	47.0000	2.5106	diploid	2.4000	11146	16	0.0014	10.6875	True	57.0000	False	4
HML-2_6q14.1	HG00738	1	78133375	78144785	71.0000	77.0000	77.0000	1.8442	diploid	1.8182	11411	20	0.0018	20.2500	True	76.5000	False	3
HML-2_6q14.1	HG00738	2	78141840	78153250	62.0000	76.0000	76.0000	1.6316	diploid	1.5072	11411	25	0.0022	17.9600	True	76.5000	False	3
HML-2_6q14.1	HG01960	1	18238052	18249462	40.0000	47.0000	47.0000	1.7021	diploid	1.7368	11411	23	0.0020	7.0000	True	47.0000	False	4
HML-2_6q14.1	HG01960	2	18246517	18257927	34.0000	51.0000	51.0000	1.3333	haploid	1.3810	11411	26	0.0023	7.1154	True	47.0000	False	4
HML-2_6q14.1	HG01960	3	18254982	18266392	52.0000	42.0000	42.0000	2.4762	diploid	2.3243	11411	33	0.0029	13.6061	True	47.0000	False	4
HML-2_6q14.1	HG02055	1	18418792	18430202	208.0000	218.0000	218.0000	1.9083	diploid	1.8830	11411	20	0.0018	54.5500	True	221.5000	False	3
HML-2_6q14.1	HG02055	2	18427257	18438667	183.0000	225.0000	225.0000	1.6267	diploid	1.5196	11411	26	0.0023	48.5385	True	221.5000	False	3
HML-2_6q14.1	NA20752	1	78318606	78330016	64.0000	63.0000	63.0000	2.0317	diploid	1.9655	11411	5	0.0004	14.2000	True	67.0000	False	3
HML-2_6q14.1	NA20752	2	78327071	78338481	55.0000	71.0000	71.0000	1.5493	haploid	1.5152	11411	7	0.0006	9.8571	True	67.0000	False	3
HML-2_7p22.1	HG00099	1	4715953	4727410	34.0000	34.0000	34.0000	2.0000	diploid	1.8750	11458	12	0.0010	6.4167	True	40.0000	False	3
HML-2_7p22.1	HG00099	2	4724457	4735914	33.0000	42.0000	42.0000	1.5714	haploid	1.4872	11458	18	0.0016	8.7778	True	40.0000	False	3
HML-2_7p22.1	HG00133	1	4707208	4718665	49.0000	51.0000	51.0000	1.9216	diploid	1.8298	11458	0	0.0000		True	39.0000	False	3
HML-2_7p22.1	HG00133	2	4715712	4727169	40.0000	56.0000	56.0000	1.4286	haploid	1.3962	11458	3	0.0003	24.3333	True	39.0000	False	3
HML-2_7p22.1	HG00232	1	4705712	4717169	43.0000	37.5000	37.5000	2.2933	diploid	2.1622	11458	8	0.0007	19.2500	True	47.0000	False	4
HML-2_7p22.1	HG00232	2	4714216	4725672	56.0000	47.0000	47.0000	2.3830	diploid	2.2418	11457	14	0.0012	24.0714	True	47.0000	False	4
HML-2_7p22.1	HG00232	3	4764356	4775813	43.0000	35.0000	35.0000	2.4571	diploid	2.2857	11458	8	0.0007	19.6250	True	47.0000	False	4
HML-2_7p22.1	HG00232	4	4772860	4784317	56.0000	47.0000	47.0000	2.3830	diploid	2.2667	11458	14	0.0012	23.5714	True	47.0000	False	4
HML-2_7p22.1	HG00235	1	4705247	4716704	55.0000	52.0000	52.0000	2.1154	diploid	2.0000	11458	11	0.0010	18.3636	True	58.0000	False	3
HML-2_7p22.1	HG00235	2	4713751	4725207	39.0000	56.0000	56.0000	1.3929	haploid	1.2963	11457	13	0.0011	20.9231	True	58.0000	False	3
HML-2_7p22.1	HG00290	1	4720234	4731691	60.0000	54.0000	54.0000	2.2222	diploid	2.1600	11458	5	0.0004	20.6000	True	62.0000	False	3
HML-2_7p22.1	HG00290	2	4728738	4740194	40.0000	62.0000	62.0000	1.2903	haploid	1.1803	11457	13	0.0011	20.8462	True	62.0000	False	3
HML-2_7p22.1	HG00344	1	4703807	4715264	28.0000	27.0000	27.0000	2.0741	diploid	2.0000	11458	2	0.0002	10.0000	True	30.5000	False	3
HML-2_7p22.1	HG00344	2	4712311	4723767	13.0000	28.0000	28.0000	0.9286	haploid	0.8571	11457	13	0.0011	7.1538	True	30.5000	False	3
HML-2_7p22.1	HG04115	1	4713251	4724708	54.0000	47.0000	47.0000	2.2979	diploid	2.3077	11458	38	0.0033	12.7632	True	44.0000	False	8
HML-2_7p22.1	HG04115	2	4721755	4733212	39.0000	40.0000	40.0000	1.9500	diploid	1.7778	11458	45	0.0039	6.9333	True	44.0000	False	8
