locus_id	frozen_membership_before_type_outcome	origin_family_status	expected_founder_chromosomes	n_type1	n_type2	n_no_call	n_typed	observed_sample_state	primary_precision_n_ge_59	predeclared_low_information_sensitivity	age_source_id	age_join_status	age_relation	insertion_age_lower_mya	insertion_age_point_mya	insertion_age_upper_mya	oldest_allowed_numeric_mya	closed_lower_else_strict_upper_mya	complete_age_primary_included	age_exclusion_reason	direct_type_evidence_sha256	age_authority_sha256	age_join_ledger_sha256
4p16.3c	true	accepted_94_locus_frame; no extra family replication	570	0	363	207	363	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
4q13.2	true	accepted_94_locus_frame; no extra family replication	570	0	208	362	208	sampled_fixed_II	true	false	subramanian2011_t1_r018	exact	closed_rate_range	17.09		30.95	30.95	17.09	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
4q32.1	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r019	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
4q32.3	true	accepted_94_locus_frame; no extra family replication	570	364	0	206	364	sampled_fixed_I	true	false	subramanian2011_t1_r020	exact	closed_rate_range	9.24		16.73	16.73	9.24	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
4q35.2_hg38	true	accepted_94_locus_frame; no extra family replication	570	0	113	457	113	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
5p12	true	accepted_94_locus_frame; no extra family replication	570	504	0	66	504	sampled_fixed_I	true	false	subramanian2011_t1_r023	exact	closed_rate_range	13.39		24.24	24.24	13.39	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
5p13.3	true	accepted_94_locus_frame; no extra family replication	570	0	502	68	502	sampled_fixed_II	true	false	subramanian2011_t1_r022	exact	closed_rate_range	6.32		11.44	11.44	6.32	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
5q11.2	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
5q33.2	true	accepted_94_locus_frame; no extra family replication	570	0	503	67	503	sampled_fixed_II	true	false	subramanian2011_t2_r007	exact	closed_rate_range	13.03		23.6	23.6	13.03	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
5q33.3	true	accepted_94_locus_frame; no extra family replication	570	481	0	89	481	sampled_fixed_I	true	false	subramanian2011_t1_r024	exact	strict_upper_resolution_limit			2	2	2	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
6p21.1	true	accepted_94_locus_frame; no extra family replication	570	0	426	144	426	sampled_fixed_II	true	false	subramanian2011_t1_r026	exact	closed_rate_range	9.83		17.81	17.81	9.83	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
6p22.1	true	accepted_94_locus_frame; no extra family replication	570	0	426	144	426	sampled_fixed_II	true	false	subramanian2011_t1_r025	exact	closed_rate_range	19.55		35.4	35.4	19.55	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
6q11.1	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
6q14.1	true	accepted_94_locus_frame; no extra family replication	570	0	347	223	347	sampled_fixed_II	true	false	subramanian2011_t1_r027	exact	strict_upper_resolution_limit			2	2	2	true		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
6q25.1	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r028	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
7p22.1	true	accepted_94_locus_frame; no extra family replication	570	0	460	110	460	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
7q11.21	true	accepted_94_locus_frame; no extra family replication	570	0	460	110	460	sampled_fixed_II	true	false	subramanian2011_t2_r009	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
7q22.2	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r031	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
7q34	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r032	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8p22	true	accepted_94_locus_frame; no extra family replication	570	0	430	140	430	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8p23.1a_hg38	true	accepted_94_locus_frame; no extra family replication	570	0	32	538	32	sampled_fixed_II	false	true			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8p23.1b	true	accepted_94_locus_frame; no extra family replication	570	0	230	340	230	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8p23.1c	true	accepted_94_locus_frame; no extra family replication	570	0	202	368	202	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8p23.1d	true	accepted_94_locus_frame; no extra family replication	570	0	255	315	255	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8p23.1e	true	accepted_94_locus_frame; no extra family replication	570	0	280	290	280	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8q11.21	true	accepted_94_locus_frame; no extra family replication	570	0	497	73	497	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8q11.23_new	true	accepted_94_locus_frame; no extra family replication	570	1	0	569	1	sampled_fixed_I	false	true			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8q24.3a	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r038	exact	not_available						false	subramanian_age_not_available	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8q24.3b	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
8q24.3c	true	accepted_94_locus_frame; no extra family replication	570	0	489	81	489	sampled_fixed_II	true	false			unmatched_or_transfer_unauthorized						false	no_authorized_subramanian_age_join	957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
9q34.11	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r039	exact	closed_rate_range	12.43		22.51	22.51	12.43	false		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
9q34.3	true	accepted_94_locus_frame; no extra family replication	570	0	0	570	0	underpowered_unresolved	false	false	subramanian2011_t1_r040	exact	closed_rate_range	15.46		28	28	15.46	false		957576678e2f84d7903a31238a6a726562162c5ff474fdaba00f4a3d956997fe	c70a6d037c523f00c3878d2ef1e71ae575c04c5388c4c3f30705e3d34baeff59	27f3afffe8c4e5fd6c076ff751b975d36a62dbcc607c9dc84c438e2bd2a897be
