ID_Full	ID	Haplotype	Source_Identifier	original_locus	physical_locus	retained_alignment_candidates_at_original_slot	partition	reason	admitted_alignment	admitted_record
HG01934_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01934	mat	HG01934#2#JBHIIB010000017.1:74053606-74056025	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01934_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01934	pat	HG01934#1#JBHIIA010000062.1:65122103-65124522	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01940_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01940	mat	HG01940#2#JBHIHL010000029.1:80550050-80552469	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01940_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01940	pat	HG01940#1#CM088638.1:77907134-77909553	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG01940_pat
HG01943_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01943	mat	HG01943#2#JBHIIL010000004.1:65442064-65444483	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01943_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01943	pat	HG01943#1#JBHIIK010000010.1:75282227-75284646	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01952_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01952	mat	HG01952#2#JAHAMD020000014.1:74982118-74984537	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01952_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01952	pat	HG01952#1#JAHAME020000011.1:73641908-73644327	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01960_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01960	mat	HG01960#2#JBHIHN010000010.1:72457806-72460225	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01960_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01960	pat	HG01960#1#JBHIHM010000012.1:75480252-75482671	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01969_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01969	mat	HG01969#2#JBHIHP010000011.1:73596031-73598450	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01969_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01969	pat	HG01969#1#JBHIHO010000015.1:77045213-77047632	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01975_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01975	mat	HG01975#2#JBJUVT010000008.1:76200940-76203359	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01975_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01975	pat	HG01975#1#JBJUVS010000065.1:78504411-78506830	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01978_mat_hprc_r2_v1.1.0_HML-2_15q25.2	HG01978	mat	HG01978#2#JAGYVS020000044.1:77228085-77230504	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01978_pat_hprc_r2_v1.1.0_HML-2_15q25.2	HG01978	pat	HG01978#1#JAGYVR020000051.1:73004556-73006975	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01981_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01981	mat	HG01981#2#JBHDRW010000031.1:76339303-76341722	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01981_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01981	pat	HG01981#1#JBHDRV010000039.1:72148751-72151170	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01993_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01993	mat	HG01993#2#JBHDSM010000020.1:5890857-5893276	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01993_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG01993	pat	HG01993#1#JBHDSL010000050.1:7201150-7203569	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02004_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02004	mat	HG02004#2#JBHDRU010000047.1:72914482-72916901	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02004_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02004	pat	HG02004#1#JBHDRT010000005.1:78834370-78836789	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02011_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02011	h1	HG02011#1#haplotype1-0000030#0:17726809-17760246	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02011_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02011	h2	HG02011#2#haplotype2-0000084#0:17713848-17747278	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02015_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02015	mat	HG02015#2#JBHDVF010000011.1:77020921-77023340	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02015_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02015	pat	HG02015#1#JBHDVE010000091.1:66649009-66651428	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02018_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02018	h1	HG02018#1#haplotype1-0000002#0:17733616-17767043	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02018_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02018	h2	HG02018#2#haplotype2-0000079#0:17734087-17767529	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02027_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02027	mat	HG02027#2#JBHDTY010000054.1:73196169-73198588	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02027_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02027	pat	HG02027#1#JBHDTX010000006.1:76635968-76638387	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02040_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02040	h1	HG02040#1#JBHDWS010000012.1:78334368-78336787	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02040_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02040	h2	HG02040#2#JBHDWT010000040.1:75149920-75152339	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02055_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02055	mat	HG02055#2#CM092201.1:76004934-76007353	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02055_mat
HG02055_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02055	pat	HG02055#1#JAHEPK020000006.1:79522042-79524462	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02056_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02056	mat	HG02056#2#JBHDVD010000001.1:69403148-69405567	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02056_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02056	pat	HG02056#1#JBHDVC010000054.1:77417031-77419450	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02059_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02059	h1	HG02059#1#haplotype1-0000030#0:62098459-62131902	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02059_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02059	h2	HG02059#2#haplotype2-0000147#0:72805383-72838793	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02071_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02071	mat	HG02071#2#JBHIGJ010000003.1:76845198-76847617	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02071_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02071	pat	HG02071#1#JBHIGI010000003.1:70577894-70580313	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02074_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02074	mat	HG02074#2#JBHIGL010000011.1:77426756-77429175	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02074_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02074	pat	HG02074#1#CM088276.1:81244184-81246603	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02074_pat
HG02080_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02080	mat	HG02080#2#JAHEOV020000015.1:74137270-74139689	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02080_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02080	pat	HG02080#1#JAHEOW020000050.1:73608848-73611267	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02083_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02083	mat	HG02083#2#JBHDTW010000043.1:65826058-65828477	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02083_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02083	pat	HG02083#1#JBHDTV010000045.1:7202031-7204450	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02106_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02106	h1	HG02106#1#haplotype1-0000028#0:73012836-73043532	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02106_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02106	h2	HG02106#2#haplotype2-0000093#0:74971136-75001832	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02109_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02109	mat	HG02109#2#JAHEPF020000014.1:76069831-76072250	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02109_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02109	pat	HG02109#1#JAHEPG020000011.1:73298798-73301217	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02129_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02129	mat	HG02129#2#JBHDVB010000001.1:74065364-74067783	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02129_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02129	pat	HG02129#1#JBHDVA010000016.1:64627514-64629933	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02132_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02132	mat	HG02132#2#JBHDTS010000014.1:74344829-74347248	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02132_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02132	pat	HG02132#1#JBHDTR010000013.1:78071518-78073937	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02135_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02135	mat	HG02135#2#JBHIGN010000049.1:74176871-74179290	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02135_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02135	pat	HG02135#1#JBHIGM010000001.1:75082638-75085057	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02145_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02145	mat	HG02145#2#JAHKSF020000004.1:65903193-65905612	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02145_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02145	pat	HG02145#1#JAHKSG020000012.1:66699917-66702336	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02148_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02148	mat	HG02148#2#JAHAMF020000012.1:67193215-67195634	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02148_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02148	pat	HG02148#1#JAHAMG020000013.1:69046516-69048935	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02155_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02155	h1	HG02155#1#CM091918.1:78981561-78983980	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02155_hap1
HG02155_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02155	h2	HG02155#2#JBIECC010000009.1:75908476-75910895	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02165_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02165	h1	HG02165#1#CM087450.1:77441088-77443507	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02165_hap1
HG02165_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02165	h2	HG02165#2#JBHDWX010000014.1:72780036-72782455	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02178_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02178	h1	HG02178#1#JBHIKG010000043.1:70791613-70794032	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02178_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02178	h2	HG02178#2#JBHIKH010000006.1:70138227-70140646	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02257_mat_hprc_r2_v1.1.0_HML-2_15q25.2	HG02257	mat	HG02257#2#JAGYVI020000045.1:67592826-67595245	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02257_pat_hprc_r2_v1.1.0_HML-2_15q25.2	HG02257	pat	HG02257#1#JAGYVH020000013.1:68571214-68573633	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02258_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02258	mat	HG02258#2#JBHDUZ010000009.1:77030323-77032742	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02258_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02258	pat	HG02258#1#JBHDUY010000014.1:73821287-73823706	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02273_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02273	h1	HG02273#1#JBHDVQ010000051.1:68782425-68784844	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02273_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02273	h2	HG02273#2#JBHDVR010000010.1:66437057-66439476	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02280_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02280	mat	HG02280#2#JBHDRS010000009.1:84533173-84535592	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02280_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02280	pat	HG02280#1#JBHDRR010000013.1:81632222-81634641	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02282_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02282	h1	HG02282#1#haplotype1-0000026#0:73657216-73690628	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02282_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02282	h2	HG02282#2#haplotype2-0000143#0:76878828-76907698	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02293_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02293	mat	HG02293#2#JBHDRO010000005.1:65204804-65207223	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02293_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02293	pat	HG02293#1#JBHDRN010000073.1:65278881-65281300	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02300_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02300	mat	HG02300#2#JBHDSE010000006.1:74585132-74587551	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02300_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02300	pat	HG02300#1#JBHDSD010000016.1:79314720-79317139	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02391_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02391	h1	HG02391#1#JBHDXJ010000001.1:77637146-77639565	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02391_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02391	h2	HG02391#2#JBHDXK010000003.1:78085686-78088105	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02392_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02392	h1	HG02392#1#JBHIKE010000016.1:72852480-72854899	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02392_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02392	h2	HG02392#2#JBHIKF010000059.1:70395329-70397748	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02451_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02451	mat	HG02451#2#JBHDRK010000007.1:65660315-65662734	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02451_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02451	pat	HG02451#1#JBHDRJ010000053.1:64876843-64879262	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02486_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02486	mat	HG02486#2#JAGYVL020000037.1:73280511-73282930	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02486_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02486	pat	HG02486#1#JAGYVM020000005.1:76611523-76613942	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02492_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02492	h1	HG02492#1#haplotype1-0000024#0:17571709-17600345	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02492_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02492	h2	HG02492#2#haplotype2-0000132#0:17678710-17707581	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02514_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02514	mat	HG02514#2#CM098754.1:76012418-76014837	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02514_mat
HG02514_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02514	pat	HG02514#1#JBJKOI010000005.1:70643647-70646066	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02523_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02523	mat	HG02523#2#CM086945.1:80031321-80033740	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02523_mat
HG02523_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02523	pat	HG02523#1#JBHDTT010000008.1:78238673-78241092	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02554_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02554	h1	HG02554#1#haplotype1-0000035#0:79720084-79753460	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02554_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02554	h2	HG02554#2#haplotype2-0000193#0:76141815-76175262	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02559_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02559	mat	HG02559#2#JAGYVJ020000043.1:69214986-69217405	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02559_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02559	pat	HG02559#1#CM088241.1:77151625-77154044	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02559_pat
HG02572_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02572	mat	HG02572#2#JAHAOV020000015.1:73853813-73856232	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02572_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02572	pat	HG02572#1#JAHAOW020000002.1:74155419-74157838	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02583_hap1_hprc_r2_v1.0.1_HML-2_15q25.2	HG02583	h1	HG02583#1#CM089494.1:78901345-78903764	15q25.2	15q25.2	1	admitted	unique_original_catalog_slot	15q25.2_carrier_kcon.aln.fa	HG02583_hap1
HG02583_hap2_hprc_r2_v1.0.1_HML-2_15q25.2	HG02583	h2	HG02583#2#JBHIIV010000042.1:7203165-7205584	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02587_h1_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02587	h1	HG02587#1#haplotype1-0000035#0:17684066-17717493	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02587_h2_HML-2_15q25.2_graph_hgsvc3-2024-02-23-mc-chm13_DEGRADED_KCON_1912	HG02587	h2	HG02587#2#haplotype2-0000078#0:17725610-17759041	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02602_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02602	mat	HG02602#2#JBJUVL010000037.1:77086737-77089156	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02602_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02602	pat	HG02602#1#JBJUVK010000015.1:77406448-77408867	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02615_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02615	mat	HG02615#2#JBHDTA010000013.1:74499820-74502239	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02615_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02615	pat	HG02615#1#JBHDSZ010000014.1:77810705-77813124	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02622_mat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02622	mat	HG02622#2#JAHAON020000016.1:76559487-76561906	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG02622_pat_hprc_r2_v1.0.1_HML-2_15q25.2	HG02622	pat	HG02622#1#JAHAOO020000003.1:76102930-76105349	15q25.2	15q25.2	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
