window	group	locus_a	locus_b	jointly_called_bases	substitutions	p_distance
B2	Type II all	12q14.1	Xq21.33	1000	9	0.009
B2	Type II all	19p12a	19p12b	989	83	0.0839231547017189
B2	Type II all	19p12a	19q12	989	84	0.08493427704752275
B2	Type II all	19p12a	19q13.12b	989	68	0.06875631951466127
B2	Type II all	19p12a	1p36.21b	966	199	0.20600414078674947
B2	Type II all	19p12a	1p36.21c	967	192	0.19855222337125128
B2	Type II all	19p12a	3p12.3	967	198	0.2047569803516029
B2	Type II all	19p12a	3q21.2	989	90	0.0910010111223458
B2	Type II all	19p12a	4p16.1a	965	185	0.19170984455958548
B2	Type II all	19p12a	4p16.1b	975	197	0.20205128205128206
B2	Type II all	19p12a	4p16.3c	967	185	0.19131334022750776
B2	Type II all	19p12a	5p13.3	989	87	0.08796764408493428
B2	Type II all	19p12a	5q33.2	967	173	0.17890382626680454
B2	Type II all	19p12a	6p21.1	985	188	0.19086294416243654
B2	Type II all	19p12a	6p22.1	961	73	0.07596253902185224
B2	Type II all	19p12a	6q14.1	989	82	0.08291203235591507
B2	Type II all	19p12a	7p22.1	989	84	0.08493427704752275
B2	Type II all	19p12a	8p23.1a_hg38	989	82	0.08291203235591507
B2	Type II all	19p12a	8p23.1b	903	173	0.19158361018826134
B2	Type II all	19p12a	8p23.1c	895	168	0.1877094972067039
B2	Type II all	19p12a	8p23.1d	903	170	0.18826135105204872
B2	Type II all	19p12a	8p23.1e	903	170	0.18826135105204872
B2	Type II all	19p12a	Xq21.33	989	83	0.0839231547017189
B2	Type II all	19p12b	19q12	1000	7	0.007
B2	Type II all	19p12b	19q13.12b	1000	81	0.081
B2	Type II all	19p12b	1p36.21b	977	193	0.19754350051177072
B2	Type II all	19p12b	1p36.21c	978	188	0.19222903885480572
B2	Type II all	19p12b	3p12.3	978	182	0.18609406952965235
B2	Type II all	19p12b	3q21.2	1000	20	0.02
B2	Type II all	19p12b	4p16.1a	976	178	0.18237704918032788
B2	Type II all	19p12b	4p16.1b	986	190	0.1926977687626775
B2	Type II all	19p12b	4p16.3c	978	180	0.18404907975460122
B2	Type II all	19p12b	5p13.3	1000	23	0.023
B2	Type II all	19p12b	5q33.2	978	176	0.17995910020449898
B2	Type II all	19p12b	6p21.1	995	189	0.1899497487437186
B2	Type II all	19p12b	6p22.1	972	84	0.08641975308641975
B2	Type II all	19p12b	6q14.1	1000	5	0.005
B2	Type II all	19p12b	7p22.1	1000	7	0.007
B2	Type II all	19p12b	8p23.1a_hg38	1000	3	0.003
B2	Type II all	19p12b	8p23.1b	914	164	0.17943107221006566
B2	Type II all	19p12b	8p23.1c	906	158	0.17439293598233996
B2	Type II all	19p12b	8p23.1d	914	161	0.1761487964989059
B2	Type II all	19p12b	8p23.1e	914	161	0.1761487964989059
B2	Type II all	19p12b	Xq21.33	1000	6	0.006
B2	Type II all	19q12	19q13.12b	1000	83	0.083
B2	Type II all	19q12	1p36.21b	977	198	0.20266120777891505
B2	Type II all	19q12	1p36.21c	978	193	0.19734151329243355
B2	Type II all	19q12	3p12.3	978	188	0.19222903885480572
B2	Type II all	19q12	3q21.2	1000	23	0.023
B2	Type II all	19q12	4p16.1a	976	183	0.1875
B2	Type II all	19q12	4p16.1b	986	196	0.19878296146044624
B2	Type II all	19q12	4p16.3c	978	186	0.1901840490797546
B2	Type II all	19q12	5p13.3	1000	24	0.024
B2	Type II all	19q12	5q33.2	978	181	0.18507157464212678
B2	Type II all	19q12	6p21.1	995	195	0.19597989949748743
B2	Type II all	19q12	6p22.1	972	88	0.09053497942386832
B2	Type II all	19q12	6q14.1	1000	7	0.007
B2	Type II all	19q12	7p22.1	1000	10	0.01
B2	Type II all	19q12	8p23.1a_hg38	1000	6	0.006
B2	Type II all	19q12	8p23.1b	914	169	0.18490153172866522
B2	Type II all	19q12	8p23.1c	906	163	0.17991169977924945
B2	Type II all	19q12	8p23.1d	914	166	0.18161925601750548
B2	Type II all	19q12	8p23.1e	914	166	0.18161925601750548
B2	Type II all	19q12	Xq21.33	1000	11	0.011
B2	Type II all	19q13.12b	1p36.21b	977	207	0.21187308085977483
B2	Type II all	19q13.12b	1p36.21c	978	200	0.20449897750511248
B2	Type II all	19q13.12b	3p12.3	978	197	0.20143149284253578
B2	Type II all	19q13.12b	3q21.2	1000	84	0.084
B2	Type II all	19q13.12b	4p16.1a	976	189	0.19364754098360656
B2	Type II all	19q13.12b	4p16.1b	986	196	0.19878296146044624
B2	Type II all	19q13.12b	4p16.3c	978	185	0.18916155419222905
B2	Type II all	19q13.12b	5p13.3	1000	85	0.085
B2	Type II all	19q13.12b	5q33.2	978	181	0.18507157464212678
B2	Type II all	19q13.12b	6p21.1	995	192	0.192964824120603
B2	Type II all	19q13.12b	6p22.1	972	63	0.06481481481481481
B2	Type II all	19q13.12b	6q14.1	1000	82	0.082
B2	Type II all	19q13.12b	7p22.1	1000	82	0.082
B2	Type II all	19q13.12b	8p23.1a_hg38	1000	80	0.08
B2	Type II all	19q13.12b	8p23.1b	914	183	0.20021881838074398
B2	Type II all	19q13.12b	8p23.1c	906	177	0.19536423841059603
B2	Type II all	19q13.12b	8p23.1d	914	180	0.19693654266958424
B2	Type II all	19q13.12b	8p23.1e	914	180	0.19693654266958424
B2	Type II all	19q13.12b	Xq21.33	1000	80	0.08
B2	Type II all	1p36.21b	1p36.21c	977	11	0.011258955987717503
B2	Type II all	1p36.21b	3p12.3	968	118	0.12190082644628099
B2	Type II all	1p36.21b	3q21.2	977	201	0.20573183213920163
B2	Type II all	1p36.21b	4p16.1a	968	119	0.12293388429752067
B2	Type II all	1p36.21b	4p16.1b	976	126	0.1290983606557377
B2	Type II all	1p36.21b	4p16.3c	976	124	0.12704918032786885
B2	Type II all	1p36.21b	5p13.3	977	198	0.20266120777891505
B2	Type II all	1p36.21b	5q33.2	976	98	0.10040983606557377
B2	Type II all	1p36.21b	6p21.1	972	106	0.10905349794238683
B2	Type II all	1p36.21b	6p22.1	951	207	0.21766561514195584
B2	Type II all	1p36.21b	6q14.1	977	195	0.19959058341862845
B2	Type II all	1p36.21b	7p22.1	977	195	0.19959058341862845
B2	Type II all	1p36.21b	8p23.1a_hg38	977	194	0.1985670419651996
B2	Type II all	1p36.21b	8p23.1b	904	118	0.13053097345132744
B2	Type II all	1p36.21b	8p23.1c	896	117	0.13058035714285715
B2	Type II all	1p36.21b	8p23.1d	904	117	0.12942477876106195
B2	Type II all	1p36.21b	8p23.1e	904	117	0.12942477876106195
B2	Type II all	1p36.21b	Xq21.33	977	193	0.19754350051177072
B2	Type II all	1p36.21c	3p12.3	969	114	0.11764705882352941
B2	Type II all	1p36.21c	3q21.2	978	198	0.20245398773006135
B2	Type II all	1p36.21c	4p16.1a	969	114	0.11764705882352941
B2	Type II all	1p36.21c	4p16.1b	977	119	0.1218014329580348
B2	Type II all	1p36.21c	4p16.3c	977	117	0.11975435005117707
B2	Type II all	1p36.21c	5p13.3	978	193	0.19734151329243355
B2	Type II all	1p36.21c	5q33.2	977	94	0.09621289662231321
B2	Type II all	1p36.21c	6p21.1	973	99	0.10174717368961973
B2	Type II all	1p36.21c	6p22.1	952	200	0.21008403361344538
B2	Type II all	1p36.21c	6q14.1	978	190	0.19427402862985685
B2	Type II all	1p36.21c	7p22.1	978	190	0.19427402862985685
B2	Type II all	1p36.21c	8p23.1a_hg38	978	189	0.19325153374233128
B2	Type II all	1p36.21c	8p23.1b	905	111	0.12265193370165746
B2	Type II all	1p36.21c	8p23.1c	897	110	0.12263099219620958
B2	Type II all	1p36.21c	8p23.1d	905	110	0.12154696132596685
B2	Type II all	1p36.21c	8p23.1e	905	110	0.12154696132596685
B2	Type II all	1p36.21c	Xq21.33	978	188	0.19222903885480572
B2	Type II all	3p12.3	3q21.2	978	194	0.1983640081799591
B2	Type II all	3p12.3	4p16.1a	975	55	0.05641025641025641
B2	Type II all	3p12.3	4p16.1b	978	59	0.06032719836400818
B2	Type II all	3p12.3	4p16.3c	970	59	0.060824742268041236
B2	Type II all	3p12.3	5p13.3	978	190	0.19427402862985685
B2	Type II all	3p12.3	5q33.2	969	72	0.07430340557275542
B2	Type II all	3p12.3	6p21.1	973	102	0.10483042137718397
B2	Type II all	3p12.3	6p22.1	954	203	0.21278825995807127
B2	Type II all	3p12.3	6q14.1	978	185	0.18916155419222905
B2	Type II all	3p12.3	7p22.1	978	184	0.18813905930470348
B2	Type II all	3p12.3	8p23.1a_hg38	978	183	0.18711656441717792
B2	Type II all	3p12.3	8p23.1b	905	61	0.06740331491712707
B2	Type II all	3p12.3	8p23.1c	905	59	0.06519337016574586
B2	Type II all	3p12.3	8p23.1d	905	58	0.06408839779005525
B2	Type II all	3p12.3	8p23.1e	905	58	0.06408839779005525
B2	Type II all	3p12.3	Xq21.33	978	180	0.18404907975460122
B2	Type II all	3q21.2	4p16.1a	976	190	0.19467213114754098
B2	Type II all	3q21.2	4p16.1b	986	201	0.20385395537525355
B2	Type II all	3q21.2	4p16.3c	978	192	0.19631901840490798
B2	Type II all	3q21.2	5p13.3	1000	27	0.027
B2	Type II all	3q21.2	5q33.2	978	184	0.18813905930470348
B2	Type II all	3q21.2	6p21.1	995	196	0.19698492462311556
B2	Type II all	3q21.2	6p22.1	972	91	0.09362139917695474
B2	Type II all	3q21.2	6q14.1	1000	19	0.019
B2	Type II all	3q21.2	7p22.1	1000	19	0.019
B2	Type II all	3q21.2	8p23.1a_hg38	1000	17	0.017
B2	Type II all	3q21.2	8p23.1b	914	177	0.1936542669584245
B2	Type II all	3q21.2	8p23.1c	906	171	0.18874172185430463
B2	Type II all	3q21.2	8p23.1d	914	174	0.19037199124726478
B2	Type II all	3q21.2	8p23.1e	914	174	0.19037199124726478
B2	Type II all	3q21.2	Xq21.33	1000	20	0.02
B2	Type II all	4p16.1a	4p16.1b	976	50	0.05122950819672131
B2	Type II all	4p16.1a	4p16.3c	970	44	0.04536082474226804
B2	Type II all	4p16.1a	5p13.3	976	188	0.19262295081967212
B2	Type II all	4p16.1a	5q33.2	969	66	0.06811145510835913
B2	Type II all	4p16.1a	6p21.1	971	102	0.10504634397528322
B2	Type II all	4p16.1a	6p22.1	952	194	0.20378151260504201
B2	Type II all	4p16.1a	6q14.1	976	179	0.1834016393442623
B2	Type II all	4p16.1a	7p22.1	976	178	0.18237704918032788
B2	Type II all	4p16.1a	8p23.1a_hg38	976	179	0.1834016393442623
B2	Type II all	4p16.1a	8p23.1b	904	34	0.03761061946902655
B2	Type II all	4p16.1a	8p23.1c	904	34	0.03761061946902655
B2	Type II all	4p16.1a	8p23.1d	904	33	0.03650442477876106
B2	Type II all	4p16.1a	8p23.1e	904	33	0.03650442477876106
B2	Type II all	4p16.1a	Xq21.33	976	174	0.17827868852459017
B2	Type II all	4p16.1b	4p16.3c	978	18	0.018404907975460124
B2	Type II all	4p16.1b	5p13.3	986	199	0.20182555780933062
B2	Type II all	4p16.1b	5q33.2	977	74	0.07574206755373593
B2	Type II all	4p16.1b	6p21.1	981	102	0.10397553516819572
B2	Type II all	4p16.1b	6p22.1	960	203	0.21145833333333333
B2	Type II all	4p16.1b	6q14.1	986	193	0.19574036511156187
B2	Type II all	4p16.1b	7p22.1	986	192	0.1947261663286004
B2	Type II all	4p16.1b	8p23.1a_hg38	986	191	0.19371196754563894
B2	Type II all	4p16.1b	8p23.1b	913	54	0.05914567360350493
B2	Type II all	4p16.1b	8p23.1c	906	52	0.05739514348785872
B2	Type II all	4p16.1b	8p23.1d	913	51	0.05585980284775466
B2	Type II all	4p16.1b	8p23.1e	913	51	0.05585980284775466
B2	Type II all	4p16.1b	Xq21.33	986	188	0.19066937119675456
B2	Type II all	4p16.3c	5p13.3	978	188	0.19222903885480572
B2	Type II all	4p16.3c	5q33.2	977	73	0.07471852610030706
B2	Type II all	4p16.3c	6p21.1	973	101	0.10380267214799589
B2	Type II all	4p16.3c	6p22.1	952	190	0.19957983193277312
B2	Type II all	4p16.3c	6q14.1	978	183	0.18711656441717792
B2	Type II all	4p16.3c	7p22.1	978	182	0.18609406952965235
B2	Type II all	4p16.3c	8p23.1a_hg38	978	181	0.18507157464212678
B2	Type II all	4p16.3c	8p23.1b	905	50	0.055248618784530384
B2	Type II all	4p16.3c	8p23.1c	898	48	0.053452115812917596
B2	Type II all	4p16.3c	8p23.1d	905	47	0.051933701657458566
B2	Type II all	4p16.3c	8p23.1e	905	47	0.051933701657458566
B2	Type II all	4p16.3c	Xq21.33	978	178	0.18200408997955012
B2	Type II all	5p13.3	5q33.2	978	183	0.18711656441717792
B2	Type II all	5p13.3	6p21.1	995	199	0.2
B2	Type II all	5p13.3	6p22.1	972	91	0.09362139917695474
B2	Type II all	5p13.3	6q14.1	1000	22	0.022
B2	Type II all	5p13.3	7p22.1	1000	22	0.022
B2	Type II all	5p13.3	8p23.1a_hg38	1000	20	0.02
B2	Type II all	5p13.3	8p23.1b	914	176	0.1925601750547046
B2	Type II all	5p13.3	8p23.1c	906	171	0.18874172185430463
B2	Type II all	5p13.3	8p23.1d	914	173	0.18927789934354486
B2	Type II all	5p13.3	8p23.1e	914	173	0.18927789934354486
B2	Type II all	5p13.3	Xq21.33	1000	21	0.021
B2	Type II all	5q33.2	6p21.1	973	81	0.08324768756423433
B2	Type II all	5q33.2	6p22.1	952	186	0.1953781512605042
B2	Type II all	5q33.2	6q14.1	978	177	0.18098159509202455
B2	Type II all	5q33.2	7p22.1	978	178	0.18200408997955012
B2	Type II all	5q33.2	8p23.1a_hg38	978	177	0.18098159509202455
B2	Type II all	5q33.2	8p23.1b	905	65	0.0718232044198895
B2	Type II all	5q33.2	8p23.1c	897	66	0.07357859531772576
B2	Type II all	5q33.2	8p23.1d	905	66	0.07292817679558011
B2	Type II all	5q33.2	8p23.1e	905	66	0.07292817679558011
B2	Type II all	5q33.2	Xq21.33	978	176	0.17995910020449898
B2	Type II all	6p21.1	6p22.1	967	200	0.20682523267838676
B2	Type II all	6p21.1	6q14.1	995	192	0.192964824120603
B2	Type II all	6p21.1	7p22.1	995	189	0.1899497487437186
B2	Type II all	6p21.1	8p23.1a_hg38	995	190	0.19095477386934673
B2	Type II all	6p21.1	8p23.1b	909	99	0.10891089108910891
B2	Type II all	6p21.1	8p23.1c	901	97	0.1076581576026637
B2	Type II all	6p21.1	8p23.1d	909	96	0.10561056105610561
B2	Type II all	6p21.1	8p23.1e	909	96	0.10561056105610561
B2	Type II all	6p21.1	Xq21.33	995	189	0.1899497487437186
B2	Type II all	6p22.1	6q14.1	972	85	0.0874485596707819
B2	Type II all	6p22.1	7p22.1	972	87	0.08950617283950617
B2	Type II all	6p22.1	8p23.1a_hg38	972	83	0.08539094650205761
B2	Type II all	6p22.1	8p23.1b	888	184	0.2072072072072072
B2	Type II all	6p22.1	8p23.1c	882	178	0.2018140589569161
B2	Type II all	6p22.1	8p23.1d	888	181	0.20382882882882883
B2	Type II all	6p22.1	8p23.1e	888	181	0.20382882882882883
B2	Type II all	6p22.1	Xq21.33	972	85	0.0874485596707819
B2	Type II all	6q14.1	7p22.1	1000	6	0.006
B2	Type II all	6q14.1	8p23.1a_hg38	1000	2	0.002
B2	Type II all	6q14.1	8p23.1b	914	166	0.18161925601750548
B2	Type II all	6q14.1	8p23.1c	906	160	0.17660044150110377
B2	Type II all	6q14.1	8p23.1d	914	163	0.17833698030634573
B2	Type II all	6q14.1	8p23.1e	914	163	0.17833698030634573
B2	Type II all	6q14.1	Xq21.33	1000	7	0.007
B2	Type II all	7p22.1	8p23.1a_hg38	1000	4	0.004
B2	Type II all	7p22.1	8p23.1b	914	165	0.18052516411378555
B2	Type II all	7p22.1	8p23.1c	906	159	0.17549668874172186
B2	Type II all	7p22.1	8p23.1d	914	162	0.1772428884026258
B2	Type II all	7p22.1	8p23.1e	914	162	0.1772428884026258
B2	Type II all	7p22.1	Xq21.33	1000	7	0.007
B2	Type II all	8p23.1a_hg38	8p23.1b	914	165	0.18052516411378555
B2	Type II all	8p23.1a_hg38	8p23.1c	906	159	0.17549668874172186
B2	Type II all	8p23.1a_hg38	8p23.1d	914	162	0.1772428884026258
B2	Type II all	8p23.1a_hg38	8p23.1e	914	162	0.1772428884026258
B2	Type II all	8p23.1a_hg38	Xq21.33	1000	5	0.005
B2	Type II all	8p23.1b	8p23.1c	906	16	0.017660044150110375
B2	Type II all	8p23.1b	8p23.1d	914	3	0.0032822757111597373
B2	Type II all	8p23.1b	8p23.1e	914	3	0.0032822757111597373
B2	Type II all	8p23.1b	Xq21.33	914	160	0.175054704595186
B2	Type II all	8p23.1c	8p23.1d	906	13	0.01434878587196468
B2	Type II all	8p23.1c	8p23.1e	906	13	0.01434878587196468
B2	Type II all	8p23.1c	Xq21.33	906	154	0.16997792494481237
B2	Type II all	8p23.1d	8p23.1e	914	0	0.0
B2	Type II all	8p23.1d	Xq21.33	914	157	0.17177242888402625
B2	Type II all	8p23.1e	Xq21.33	914	157	0.17177242888402625
B2	Type II LTR5Hs	10p14	10q24.2	1000	35	0.035
B2	Type II LTR5Hs	10p14	11q12.3	999	85	0.08508508508508508
B2	Type II LTR5Hs	10p14	11q22.1	1000	40	0.04
B2	Type II LTR5Hs	10p14	12q14.1	1000	43	0.043
B2	Type II LTR5Hs	10p14	19p12b	1000	41	0.041
B2	Type II LTR5Hs	10p14	19q12	1000	44	0.044
B2	Type II LTR5Hs	10p14	19q13.12b	1000	84	0.084
B2	Type II LTR5Hs	10p14	3q21.2	1000	40	0.04
B2	Type II LTR5Hs	10p14	5p13.3	1000	44	0.044
B2	Type II LTR5Hs	10p14	6p22.1	972	92	0.09465020576131687
B2	Type II LTR5Hs	10p14	6q14.1	1000	41	0.041
B2	Type II LTR5Hs	10p14	7p22.1	1000	39	0.039
B2	Type II LTR5Hs	10p14	8p23.1a_hg38	1000	39	0.039
B2	Type II LTR5Hs	10p14	Xq21.33	1000	40	0.04
B2	Type II LTR5Hs	10q24.2	11q12.3	999	88	0.08808808808808809
B2	Type II LTR5Hs	10q24.2	11q22.1	1000	13	0.013
B2	Type II LTR5Hs	10q24.2	12q14.1	1000	14	0.014
B2	Type II LTR5Hs	10q24.2	19p12b	1000	15	0.015
B2	Type II LTR5Hs	10q24.2	19q12	1000	16	0.016
B2	Type II LTR5Hs	10q24.2	19q13.12b	1000	80	0.08
B2	Type II LTR5Hs	10q24.2	3q21.2	1000	21	0.021
B2	Type II LTR5Hs	10q24.2	5p13.3	1000	20	0.02
B2	Type II LTR5Hs	10q24.2	6p22.1	972	86	0.08847736625514403
B2	Type II LTR5Hs	10q24.2	6q14.1	1000	14	0.014
B2	Type II LTR5Hs	10q24.2	7p22.1	1000	14	0.014
B2	Type II LTR5Hs	10q24.2	8p23.1a_hg38	1000	12	0.012
B2	Type II LTR5Hs	10q24.2	Xq21.33	1000	13	0.013
B2	Type II LTR5Hs	11q12.3	11q22.1	999	87	0.08708708708708708
B2	Type II LTR5Hs	11q12.3	12q14.1	999	90	0.09009009009009009
B2	Type II LTR5Hs	11q12.3	19p12b	999	87	0.08708708708708708
B2	Type II LTR5Hs	11q12.3	19q12	999	91	0.09109109109109109
B2	Type II LTR5Hs	11q12.3	19q13.12b	999	76	0.07607607607607608
B2	Type II LTR5Hs	11q12.3	3q21.2	999	91	0.09109109109109109
B2	Type II LTR5Hs	11q12.3	5p13.3	999	96	0.0960960960960961
B2	Type II LTR5Hs	11q12.3	6p22.1	971	83	0.0854788877445932
B2	Type II LTR5Hs	11q12.3	6q14.1	999	88	0.08808808808808809
B2	Type II LTR5Hs	11q12.3	7p22.1	999	89	0.0890890890890891
B2	Type II LTR5Hs	11q12.3	8p23.1a_hg38	999	86	0.08608608608608609
B2	Type II LTR5Hs	11q12.3	Xq21.33	999	87	0.08708708708708708
B2	Type II LTR5Hs	11q22.1	12q14.1	1000	3	0.003
B2	Type II LTR5Hs	11q22.1	19p12b	1000	4	0.004
B2	Type II LTR5Hs	11q22.1	19q12	1000	7	0.007
B2	Type II LTR5Hs	11q22.1	19q13.12b	1000	81	0.081
B2	Type II LTR5Hs	11q22.1	3q21.2	1000	18	0.018
B2	Type II LTR5Hs	11q22.1	5p13.3	1000	21	0.021
B2	Type II LTR5Hs	11q22.1	6p22.1	972	84	0.08641975308641975
B2	Type II LTR5Hs	11q22.1	6q14.1	1000	3	0.003
B2	Type II LTR5Hs	11q22.1	7p22.1	1000	5	0.005
B2	Type II LTR5Hs	11q22.1	8p23.1a_hg38	1000	1	0.001
B2	Type II LTR5Hs	11q22.1	Xq21.33	1000	6	0.006
B2	Type II LTR5Hs	12q14.1	19p12b	1000	7	0.007
B2	Type II LTR5Hs	12q14.1	19q12	1000	8	0.008
B2	Type II LTR5Hs	12q14.1	19q13.12b	1000	82	0.082
B2	Type II LTR5Hs	12q14.1	3q21.2	1000	21	0.021
B2	Type II LTR5Hs	12q14.1	5p13.3	1000	24	0.024
B2	Type II LTR5Hs	12q14.1	6p22.1	972	85	0.0874485596707819
B2	Type II LTR5Hs	12q14.1	6q14.1	1000	6	0.006
B2	Type II LTR5Hs	12q14.1	7p22.1	1000	8	0.008
B2	Type II LTR5Hs	12q14.1	8p23.1a_hg38	1000	4	0.004
B2	Type II LTR5Hs	12q14.1	Xq21.33	1000	9	0.009
B2	Type II LTR5Hs	19p12b	19q12	1000	7	0.007
B2	Type II LTR5Hs	19p12b	19q13.12b	1000	81	0.081
B2	Type II LTR5Hs	19p12b	3q21.2	1000	20	0.02
B2	Type II LTR5Hs	19p12b	5p13.3	1000	23	0.023
B2	Type II LTR5Hs	19p12b	6p22.1	972	84	0.08641975308641975
B2	Type II LTR5Hs	19p12b	6q14.1	1000	5	0.005
B2	Type II LTR5Hs	19p12b	7p22.1	1000	7	0.007
B2	Type II LTR5Hs	19p12b	8p23.1a_hg38	1000	3	0.003
B2	Type II LTR5Hs	19p12b	Xq21.33	1000	6	0.006
B2	Type II LTR5Hs	19q12	19q13.12b	1000	83	0.083
B2	Type II LTR5Hs	19q12	3q21.2	1000	23	0.023
B2	Type II LTR5Hs	19q12	5p13.3	1000	24	0.024
B2	Type II LTR5Hs	19q12	6p22.1	972	88	0.09053497942386832
B2	Type II LTR5Hs	19q12	6q14.1	1000	7	0.007
B2	Type II LTR5Hs	19q12	7p22.1	1000	10	0.01
B2	Type II LTR5Hs	19q12	8p23.1a_hg38	1000	6	0.006
B2	Type II LTR5Hs	19q12	Xq21.33	1000	11	0.011
B2	Type II LTR5Hs	19q13.12b	3q21.2	1000	84	0.084
B2	Type II LTR5Hs	19q13.12b	5p13.3	1000	85	0.085
B2	Type II LTR5Hs	19q13.12b	6p22.1	972	63	0.06481481481481481
B2	Type II LTR5Hs	19q13.12b	6q14.1	1000	82	0.082
B2	Type II LTR5Hs	19q13.12b	7p22.1	1000	82	0.082
B2	Type II LTR5Hs	19q13.12b	8p23.1a_hg38	1000	80	0.08
B2	Type II LTR5Hs	19q13.12b	Xq21.33	1000	80	0.08
B2	Type II LTR5Hs	3q21.2	5p13.3	1000	27	0.027
B2	Type II LTR5Hs	3q21.2	6p22.1	972	91	0.09362139917695474
B2	Type II LTR5Hs	3q21.2	6q14.1	1000	19	0.019
B2	Type II LTR5Hs	3q21.2	7p22.1	1000	19	0.019
B2	Type II LTR5Hs	3q21.2	8p23.1a_hg38	1000	17	0.017
B2	Type II LTR5Hs	3q21.2	Xq21.33	1000	20	0.02
B2	Type II LTR5Hs	5p13.3	6p22.1	972	91	0.09362139917695474
B2	Type II LTR5Hs	5p13.3	6q14.1	1000	22	0.022
B2	Type II LTR5Hs	5p13.3	7p22.1	1000	22	0.022
B2	Type II LTR5Hs	5p13.3	8p23.1a_hg38	1000	20	0.02
B2	Type II LTR5Hs	5p13.3	Xq21.33	1000	21	0.021
B2	Type II LTR5Hs	6p22.1	6q14.1	972	85	0.0874485596707819
B2	Type II LTR5Hs	6p22.1	7p22.1	972	87	0.08950617283950617
B2	Type II LTR5Hs	6p22.1	8p23.1a_hg38	972	83	0.08539094650205761
B2	Type II LTR5Hs	6p22.1	Xq21.33	972	85	0.0874485596707819
B2	Type II LTR5Hs	6q14.1	7p22.1	1000	6	0.006
B2	Type II LTR5Hs	6q14.1	8p23.1a_hg38	1000	2	0.002
B2	Type II LTR5Hs	6q14.1	Xq21.33	1000	7	0.007
B2	Type II LTR5Hs	7p22.1	8p23.1a_hg38	1000	4	0.004
B2	Type II LTR5Hs	7p22.1	Xq21.33	1000	7	0.007
B2	Type II LTR5Hs	8p23.1a_hg38	Xq21.33	1000	5	0.005
B2	Type II other	11p15.4	12p11.21	881	173	0.1963677639046538
B2	Type II other	11p15.4	19p12a	967	180	0.18614270941054809
B2	Type II other	11p15.4	1p36.21b	968	110	0.11363636363636363
B2	Type II other	11p15.4	1p36.21c	969	103	0.10629514963880289
B2	Type II other	11p15.4	3p12.3	977	56	0.057318321392016376
B2	Type II other	11p15.4	4p16.1a	976	35	0.035860655737704916
B2	Type II other	11p15.4	4p16.1b	978	47	0.04805725971370143
B2	Type II other	11p15.4	4p16.3c	970	41	0.042268041237113405
B2	Type II other	11p15.4	5q33.2	969	63	0.06501547987616099
B2	Type II other	11p15.4	6p21.1	973	97	0.09969167523124357
B2	Type II other	11p15.4	8p23.1b	906	44	0.04856512141280353
B2	Type II other	11p15.4	8p23.1c	906	42	0.046357615894039736
B2	Type II other	11p15.4	8p23.1d	906	41	0.04525386313465784
B2	Type II other	11p15.4	8p23.1e	906	41	0.04525386313465784
B2	Type II other	12p11.21	19p12a	893	83	0.0929451287793953
B2	Type II other	12p11.21	1p36.21b	880	200	0.22727272727272727
B2	Type II other	12p11.21	1p36.21c	881	195	0.2213393870601589
B2	Type II other	12p11.21	3p12.3	881	185	0.20998864926220204
B2	Type II other	12p11.21	4p16.1a	879	175	0.19908987485779295
B2	Type II other	12p11.21	4p16.1b	889	190	0.21372328458942633
B2	Type II other	12p11.21	4p16.3c	881	180	0.2043132803632236
B2	Type II other	12p11.21	5q33.2	881	174	0.19750283768444948
B2	Type II other	12p11.21	6p21.1	902	188	0.20842572062084258
B2	Type II other	12p11.21	8p23.1b	886	191	0.21557562076749437
B2	Type II other	12p11.21	8p23.1c	878	185	0.21070615034168566
B2	Type II other	12p11.21	8p23.1d	886	188	0.21218961625282168
B2	Type II other	12p11.21	8p23.1e	886	188	0.21218961625282168
B2	Type II other	19p12a	1p36.21b	966	199	0.20600414078674947
B2	Type II other	19p12a	1p36.21c	967	192	0.19855222337125128
B2	Type II other	19p12a	3p12.3	967	198	0.2047569803516029
B2	Type II other	19p12a	4p16.1a	965	185	0.19170984455958548
B2	Type II other	19p12a	4p16.1b	975	197	0.20205128205128206
B2	Type II other	19p12a	4p16.3c	967	185	0.19131334022750776
B2	Type II other	19p12a	5q33.2	967	173	0.17890382626680454
B2	Type II other	19p12a	6p21.1	985	188	0.19086294416243654
B2	Type II other	19p12a	8p23.1b	903	173	0.19158361018826134
B2	Type II other	19p12a	8p23.1c	895	168	0.1877094972067039
B2	Type II other	19p12a	8p23.1d	903	170	0.18826135105204872
B2	Type II other	19p12a	8p23.1e	903	170	0.18826135105204872
B2	Type II other	1p36.21b	1p36.21c	977	11	0.011258955987717503
B2	Type II other	1p36.21b	3p12.3	968	118	0.12190082644628099
B2	Type II other	1p36.21b	4p16.1a	968	119	0.12293388429752067
B2	Type II other	1p36.21b	4p16.1b	976	126	0.1290983606557377
B2	Type II other	1p36.21b	4p16.3c	976	124	0.12704918032786885
B2	Type II other	1p36.21b	5q33.2	976	98	0.10040983606557377
B2	Type II other	1p36.21b	6p21.1	972	106	0.10905349794238683
B2	Type II other	1p36.21b	8p23.1b	904	118	0.13053097345132744
B2	Type II other	1p36.21b	8p23.1c	896	117	0.13058035714285715
B2	Type II other	1p36.21b	8p23.1d	904	117	0.12942477876106195
