region	locus	original_locus	alignment_record	ID_Full	Source_Identifier	sample	haplotype	newly_admitted	sequence_sha256
gag	1p36.21b	1p36.21b	NA18534_h2	NA18534_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18534#2#haplotype2-0000085#0:229577236-229616845	NA18534	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18534_h2	NA18534_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18534#2#haplotype2-0000085#0:229577236-229616845	NA18534	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18534_h2	NA18534_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18534#2#haplotype2-0000085#0:229577236-229616845	NA18534	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18534_h2	NA18534_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18534#2#haplotype2-0000085#0:229577236-229616845	NA18534	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18565_hap1	NA18565_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#1#CM094316.1:12581185-12591536	NA18565	h1	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18565_hap1	NA18565_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#1#CM094316.1:12581185-12591536	NA18565	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18565_hap1	NA18565_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#1#CM094316.1:12581185-12591536	NA18565	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18565_hap1	NA18565_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#1#CM094316.1:12581185-12591536	NA18565	h1	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18565_hap2	NA18565_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#2#CM094338.1:12615320-12625671	NA18565	h2	0	8a5ae4ee378acc444e9024177a9a55004a278d9f2c86c830fda3e058efccb42d
pro	1p36.21b	1p36.21b	NA18565_hap2	NA18565_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#2#CM094338.1:12615320-12625671	NA18565	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18565_hap2	NA18565_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#2#CM094338.1:12615320-12625671	NA18565	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18565_hap2	NA18565_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18565#2#CM094338.1:12615320-12625671	NA18565	h2	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18608_hap2	NA18608_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18608#2#CM089849.1:12600378-12610729	NA18608	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18608_hap2	NA18608_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18608#2#CM089849.1:12600378-12610729	NA18608	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18608_hap2	NA18608_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18608#2#CM089849.1:12600378-12610729	NA18608	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18608_hap2	NA18608_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18608#2#CM089849.1:12600378-12610729	NA18608	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18620_hap2	NA18620_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18620#2#CM089828.1:12855855-12866206	NA18620	h2	0	8a5ae4ee378acc444e9024177a9a55004a278d9f2c86c830fda3e058efccb42d
pro	1p36.21b	1p36.21b	NA18620_hap2	NA18620_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18620#2#CM089828.1:12855855-12866206	NA18620	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18620_hap2	NA18620_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18620#2#CM089828.1:12855855-12866206	NA18620	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18620_hap2	NA18620_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18620#2#CM089828.1:12855855-12866206	NA18620	h2	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18879_hap2	NA18879_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18879#2#CM099727.1:12721698-12732049	NA18879	h2	0	ab00c5a33ef347125a2993824a090f92dd79791b71ff7edfef25bf632638dd61
pro	1p36.21b	1p36.21b	NA18879_hap2	NA18879_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18879#2#CM099727.1:12721698-12732049	NA18879	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18879_hap2	NA18879_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18879#2#CM099727.1:12721698-12732049	NA18879	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18879_hap2	NA18879_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18879#2#CM099727.1:12721698-12732049	NA18879	h2	0	44f2d62153693d0855b6ca0634879dde61f6420d5a84bc7bb1a2a3615d9a01ab
gag	1p36.21b	1p36.21b	NA18906_mat	NA18906_mat_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18906#2#CM091947.1:12672739-12683090	NA18906	mat	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18906_mat	NA18906_mat_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18906#2#CM091947.1:12672739-12683090	NA18906	mat	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18906_mat	NA18906_mat_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18906#2#CM091947.1:12672739-12683090	NA18906	mat	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18906_mat	NA18906_mat_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18906#2#CM091947.1:12672739-12683090	NA18906	mat	0	f1a6a3e3796e8d76a7a8414a36a4cbf0c357ffc46c4c3f2802a345949c1e02a1
gag	1p36.21b	1p36.21b	NA18939_h2	NA18939_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18939#2#haplotype2-0000118#0:237635728-237675350	NA18939	h2	0	8a5ae4ee378acc444e9024177a9a55004a278d9f2c86c830fda3e058efccb42d
pro	1p36.21b	1p36.21b	NA18939_h2	NA18939_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18939#2#haplotype2-0000118#0:237635728-237675350	NA18939	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18939_h2	NA18939_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18939#2#haplotype2-0000118#0:237635728-237675350	NA18939	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18939_h2	NA18939_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18939#2#haplotype2-0000118#0:237635728-237675350	NA18939	h2	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18940_hap1	NA18940_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#1#CM101701.1:12728287-12738638	NA18940	h1	0	8a5ae4ee378acc444e9024177a9a55004a278d9f2c86c830fda3e058efccb42d
pro	1p36.21b	1p36.21b	NA18940_hap1	NA18940_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#1#CM101701.1:12728287-12738638	NA18940	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18940_hap1	NA18940_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#1#CM101701.1:12728287-12738638	NA18940	h1	0	702a7b084ad1e30e93359fa2cd371bd752bde2fca6bfb806aec82f53809123e7
env	1p36.21b	1p36.21b	NA18940_hap1	NA18940_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#1#CM101701.1:12728287-12738638	NA18940	h1	0	14de0a689a0640e9aefd208084a53a125e76d66db7aeb01576c76969a63473ef
gag	1p36.21b	1p36.21b	NA18940_hap2	NA18940_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#2#CM101714.1:12617210-12627561	NA18940	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18940_hap2	NA18940_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#2#CM101714.1:12617210-12627561	NA18940	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18940_hap2	NA18940_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#2#CM101714.1:12617210-12627561	NA18940	h2	0	a60bcc74dcff1e3c822e5046e656f861c3d202f6a098107f7a08418a0a3cf83b
env	1p36.21b	1p36.21b	NA18940_hap2	NA18940_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18940#2#CM101714.1:12617210-12627561	NA18940	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18943_hap2	NA18943_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18943#2#CM101685.1:12598178-12608529	NA18943	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18943_hap2	NA18943_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18943#2#CM101685.1:12598178-12608529	NA18943	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18943_hap2	NA18943_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18943#2#CM101685.1:12598178-12608529	NA18943	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18943_hap2	NA18943_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18943#2#CM101685.1:12598178-12608529	NA18943	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18944_hap1	NA18944_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#1#CM101641.1:12698011-12708362	NA18944	h1	0	8a5ae4ee378acc444e9024177a9a55004a278d9f2c86c830fda3e058efccb42d
pro	1p36.21b	1p36.21b	NA18944_hap1	NA18944_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#1#CM101641.1:12698011-12708362	NA18944	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18944_hap1	NA18944_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#1#CM101641.1:12698011-12708362	NA18944	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18944_hap1	NA18944_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#1#CM101641.1:12698011-12708362	NA18944	h1	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18944_hap2	NA18944_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#2#CM101671.1:12702549-12712900	NA18944	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18944_hap2	NA18944_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#2#CM101671.1:12702549-12712900	NA18944	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18944_hap2	NA18944_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#2#CM101671.1:12702549-12712900	NA18944	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18944_hap2	NA18944_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18944#2#CM101671.1:12702549-12712900	NA18944	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18945_hap1	NA18945_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#1#CM101611.1:12666816-12677167	NA18945	h1	0	18cc16efbeffaeb2d57d969089e6d0ca2839749e1586589568e097248b4335b1
pro	1p36.21b	1p36.21b	NA18945_hap1	NA18945_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#1#CM101611.1:12666816-12677167	NA18945	h1	0	e0a019ad1d1aa139aa7ba78fd816b107552164c5084ff234684b6e961427b137
pol	1p36.21b	1p36.21b	NA18945_hap1	NA18945_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#1#CM101611.1:12666816-12677167	NA18945	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18945_hap1	NA18945_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#1#CM101611.1:12666816-12677167	NA18945	h1	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18945_hap2	NA18945_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#2#CM101626.1:12627413-12637764	NA18945	h2	0	8a5ae4ee378acc444e9024177a9a55004a278d9f2c86c830fda3e058efccb42d
pro	1p36.21b	1p36.21b	NA18945_hap2	NA18945_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#2#CM101626.1:12627413-12637764	NA18945	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18945_hap2	NA18945_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#2#CM101626.1:12627413-12637764	NA18945	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18945_hap2	NA18945_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18945#2#CM101626.1:12627413-12637764	NA18945	h2	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18948_hap1	NA18948_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18948#1#CM101596.1:12690270-12700621	NA18948	h1	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18948_hap1	NA18948_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18948#1#CM101596.1:12690270-12700621	NA18948	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18948_hap1	NA18948_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18948#1#CM101596.1:12690270-12700621	NA18948	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18948_hap1	NA18948_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18948#1#CM101596.1:12690270-12700621	NA18948	h1	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18952_hap2	NA18952_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18952#2#CM089808.1:12621826-12632177	NA18952	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18952_hap2	NA18952_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18952#2#CM089808.1:12621826-12632177	NA18952	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18952_hap2	NA18952_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18952#2#CM089808.1:12621826-12632177	NA18952	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18952_hap2	NA18952_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18952#2#CM089808.1:12621826-12632177	NA18952	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18960_hap1	NA18960_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18960#1#CM101526.1:12680827-12691178	NA18960	h1	0	18cc16efbeffaeb2d57d969089e6d0ca2839749e1586589568e097248b4335b1
pro	1p36.21b	1p36.21b	NA18960_hap1	NA18960_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18960#1#CM101526.1:12680827-12691178	NA18960	h1	0	e0a019ad1d1aa139aa7ba78fd816b107552164c5084ff234684b6e961427b137
pol	1p36.21b	1p36.21b	NA18960_hap1	NA18960_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18960#1#CM101526.1:12680827-12691178	NA18960	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18960_hap1	NA18960_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18960#1#CM101526.1:12680827-12691178	NA18960	h1	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
gag	1p36.21b	1p36.21b	NA18970_hap1	NA18970_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#1#CM101465.1:12669718-12680069	NA18970	h1	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18970_hap1	NA18970_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#1#CM101465.1:12669718-12680069	NA18970	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18970_hap1	NA18970_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#1#CM101465.1:12669718-12680069	NA18970	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18970_hap1	NA18970_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#1#CM101465.1:12669718-12680069	NA18970	h1	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18970_hap2	NA18970_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#2#CM101479.1:12662215-12672566	NA18970	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18970_hap2	NA18970_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#2#CM101479.1:12662215-12672566	NA18970	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18970_hap2	NA18970_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#2#CM101479.1:12662215-12672566	NA18970	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18970_hap2	NA18970_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18970#2#CM101479.1:12662215-12672566	NA18970	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18983_hap1	NA18983_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#1#CM087417.1:12464442-12474793	NA18983	h1	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18983_hap1	NA18983_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#1#CM087417.1:12464442-12474793	NA18983	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18983_hap1	NA18983_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#1#CM087417.1:12464442-12474793	NA18983	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18983_hap1	NA18983_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#1#CM087417.1:12464442-12474793	NA18983	h1	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18983_hap2	NA18983_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#2#CM087429.1:12676683-12687034	NA18983	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18983_hap2	NA18983_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#2#CM087429.1:12676683-12687034	NA18983	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18983_hap2	NA18983_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#2#CM087429.1:12676683-12687034	NA18983	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18983_hap2	NA18983_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA18983#2#CM087429.1:12676683-12687034	NA18983	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18989_h1	NA18989_h1_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#1#haplotype1-0000003#0:124204899-124244500	NA18989	h1	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18989_h1	NA18989_h1_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#1#haplotype1-0000003#0:124204899-124244500	NA18989	h1	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18989_h1	NA18989_h1_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#1#haplotype1-0000003#0:124204899-124244500	NA18989	h1	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18989_h1	NA18989_h1_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#1#haplotype1-0000003#0:124204899-124244500	NA18989	h1	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA18989_h2	NA18989_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#2#haplotype2-0000131#0:124884158-124923763	NA18989	h2	0	45c2fedea3b163a61d19663ccc3fbc5535d4c75d0697c87e80e2deae80a7b65e
pro	1p36.21b	1p36.21b	NA18989_h2	NA18989_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#2#haplotype2-0000131#0:124884158-124923763	NA18989	h2	0	d5ddcb38ff5e35cc1b82f8dae7a9cedfc4f7937752c417cc1350073cecbf41ec
pol	1p36.21b	1p36.21b	NA18989_h2	NA18989_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#2#haplotype2-0000131#0:124884158-124923763	NA18989	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA18989_h2	NA18989_h2_HML-2_1p36.21b_graph_hgsvc3-2024-02-23-mc-chm13	NA18989#2#haplotype2-0000131#0:124884158-124923763	NA18989	h2	0	be32e28886965af48fd42a0aeeb565b9a723ba046b53c054fd88bff4ca76018f
gag	1p36.21b	1p36.21b	NA19036_h2	NA19036_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA19036#2#JBHIJN010000038.1:10756496-10766847	NA19036	h2	0	2072f1a801e5890d01584bc3ee40e0f7f6d2de7aabcddb410c038cc85316f52c
pro	1p36.21b	1p36.21b	NA19036_h2	NA19036_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA19036#2#JBHIJN010000038.1:10756496-10766847	NA19036	h2	0	1c971ea9ff46004a4f99762b0e83dcfe1ac804674acba163db5c453ba5fc8e26
pol	1p36.21b	1p36.21b	NA19036_h2	NA19036_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA19036#2#JBHIJN010000038.1:10756496-10766847	NA19036	h2	0	52817397c7a0df746ba89a40d9dc4b2a06ba2edaa188295c742b4d837a7c09c7
env	1p36.21b	1p36.21b	NA19036_h2	NA19036_hap2_hprc_r2_v1.0.1_HML-2_1p36.21b	NA19036#2#JBHIJN010000038.1:10756496-10766847	NA19036	h2	0	2126b60b22d500308aea4087619643d01ee05dd210a91ea9cc27bbaa868480c4
